Code,Decoder,Error_rate,Shots,Fails,BP_hyperparams
n144k12d12,AutBP-72,0.009,5000,4645,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,AutBP-72,0.01,10000,9725,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP+OSD0,0.001,10000000,30,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP+OSD0,0.0015,10000000,218,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP+OSD0,0.002,5000000,636,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP+OSD0,0.003,1000000,1751,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP+OSD0,0.004,490000,6681,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP+OSD0,0.005,100000,6958,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP+OSD0,0.006,80000,18137,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP+OSD0,0.007,10000,4919,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP+OSD0,0.008,10000,7611,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP+OSD0,0.009,10000,9264,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP+OSD0,0.01,10000,9849,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP+OSD10,0.001,10000000,13,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP+OSD10,0.0015,10000000,80,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP+OSD10,0.002,5000000,242,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP+OSD10,0.003,1000000,818,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP+OSD10,0.004,370000,2858,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP+OSD10,0.005,15000,648,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP+OSD10,0.006,5000,803,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP+OSD10,0.007,10000,4077,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP+OSD10,0.008,10000,6936,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP+OSD10,0.009,10000,8904,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP+OSD10,0.01,10000,9765,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,AutBPOSD0-5,0.001,9410000,13,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,AutBPOSD0-5,0.0015,10000000,110,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,AutBPOSD0-5,0.002,5000000,325,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,AutBPOSD0-5,0.003,450000,383,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,AutBPOSD0-5,0.004,155000,1078,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,AutBPOSD0-5,0.005,55000,2168,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,AutBPOSD0-5,0.006,25000,3814,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,AutBPOSD0-5,0.007,15000,5800,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,AutBPOSD0-5,0.008,10000,6788,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,AutBPOSD0-5,0.009,10000,8856,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,AutBPOSD0-5,0.01,10000,9727,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,AutBPOSD0-17,0.0008,9895000,0,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,AutBPOSD0-17,0.0009,9995000,2,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,AutBPOSD0-17,0.001,9620000,12,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,AutBPOSD0-17,0.0015,8185000,68,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,AutBPOSD0-17,0.002,2690000,155,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,AutBPOSD0-17,0.003,180000,121,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,AutBPOSD0-17,0.004,50000,260,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,AutBPOSD0-17,0.005,15000,381,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,AutBPOSD0-17,0.006,5000,565,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,AutBPOSD0-17,0.007,5000,1627,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP,0.0008,10000000,814,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP,0.0009,10000000,1236,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP,0.001,10000000,1718,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP,0.002,10000000,26849,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP,0.003,10000000,150646,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP,0.004,10000000,515384,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP,0.005,10000000,1276184,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP,0.006,10000000,2484889,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP,0.007,10000000,4029341,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP,0.008,10000000,5646786,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP,0.009,9895000,7025998,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP,0.01,9320000,7669407,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-5,0.0008,10000000,657,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-5,0.0009,10000000,1004,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-5,0.001,10000000,1379,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-5,0.002,10000000,21104,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-5,0.003,10000000,120445,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-5,0.004,10000000,424747,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-5,0.005,10000000,1092559,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-5,0.006,10000000,2184617,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-5,0.007,10000000,3657441,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-5,0.008,10000000,5266387,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-5,0.009,9895000,6698260,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-5,0.01,9320000,7436059,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-17,0.0008,10000000,610,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-17,0.0009,10000000,913,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-17,0.001,10000000,1235,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-17,0.002,10000000,18483,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-17,0.003,10000000,105300,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-17,0.004,10000000,377116,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-17,0.005,10000000,989528,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-17,0.006,7985000,1602559,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-17,0.007,5125000,1757256,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-17,0.008,3885000,1950325,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-17,0.009,3185000,2086040,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-17,0.01,2805000,2188915,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-36,0.0008,10000000,593,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-36,0.0009,10000000,881,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-36,0.001,10000000,1190,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-36,0.002,10000000,17422,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-36,0.003,10000000,98634,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-36,0.004,10000000,355569,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
